unit_key,channel,unit_id,is_mua,n_spikes,snr,isi_violation,band,lfp_channel,mrl,ppc,p_value,preferred_phase_deg,significant
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,3,0.0613,-0.0008,0.437628,-96.0,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,4,0.0567,-0.0013,0.493070,-106.1,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,5,0.0692,0.0002,0.348861,-99.9,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,6,0.0500,-0.0021,0.576779,-110.0,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,7,0.0668,-0.0001,0.374569,-100.9,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,8,0.0522,-0.0018,0.548857,-118.2,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,9,0.0889,0.0034,0.175820,-95.0,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,10,0.0655,-0.0003,0.389629,-119.7,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,11,0.0849,0.0027,0.204764,-115.9,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,12,0.0626,-0.0006,0.422640,-107.5,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,13,0.0819,0.0022,0.229007,-104.1,False
ch0_unit2,0,2,True,220,3.05,4.11,high_gamma,14,0.0633,-0.0005,0.414251,-113.3,False
ch0_unit3,0,3,False,406,4.43,0.00,delta,0,0.1470,0.0192,0.000154,159.5,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,1,0.1217,0.0124,0.002450,170.0,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,2,0.1477,0.0194,0.000142,157.3,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,3,0.1237,0.0129,0.001998,162.6,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,4,0.1346,0.0157,0.000636,150.7,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,5,0.1197,0.0119,0.002979,170.6,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,6,0.1295,0.0143,0.001102,163.7,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,7,0.1214,0.0123,0.002525,172.1,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,8,0.1455,0.0187,0.000185,160.2,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,9,0.1080,0.0092,0.008755,174.0,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,10,0.1564,0.0221,0.000048,156.2,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,11,0.1670,0.0255,0.000012,155.1,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,12,0.1580,0.0226,0.000040,165.1,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,13,0.1608,0.0235,0.000027,156.3,True
ch0_unit3,0,3,False,406,4.43,0.00,delta,14,0.1693,0.0263,0.000009,160.5,True
ch0_unit3,0,3,False,406,4.43,0.00,theta,0,0.0521,0.0003,0.332122,68.5,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,1,0.0841,0.0046,0.056645,160.0,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,2,0.0514,0.0002,0.342088,75.3,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,3,0.0624,0.0014,0.205609,131.5,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,4,0.0381,-0.0010,0.554603,100.9,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,5,0.0331,-0.0014,0.640802,135.7,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,6,0.0452,-0.0004,0.436051,128.9,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,7,0.0712,0.0026,0.127718,148.9,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,8,0.0468,-0.0003,0.411019,67.8,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,9,0.0834,0.0045,0.059344,170.8,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,10,0.0721,0.0027,0.121244,64.5,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,11,0.0821,0.0043,0.064638,67.2,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,12,0.1054,0.0087,0.010980,75.0,True
ch0_unit3,0,3,False,406,4.43,0.00,theta,13,0.0794,0.0039,0.077358,63.4,False
ch0_unit3,0,3,False,406,4.43,0.00,theta,14,0.0946,0.0065,0.026501,68.3,True
ch0_unit3,0,3,False,406,4.43,0.00,alpha,0,0.0523,0.0003,0.329234,2.5,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,1,0.0031,-0.0025,0.996163,142.3,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,2,0.0328,-0.0014,0.646337,-8.0,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,3,0.0158,-0.0022,0.903614,-35.0,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,4,0.0281,-0.0017,0.726524,-2.3,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,5,0.0278,-0.0017,0.730705,-19.9,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,6,0.0166,-0.0022,0.893822,-19.4,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,7,0.0050,-0.0024,0.990086,-50.2,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,8,0.0410,-0.0008,0.505197,-2.7,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,9,0.0033,-0.0025,0.995717,173.6,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,10,0.0580,0.0009,0.254743,-4.3,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,11,0.0684,0.0022,0.149511,-5.4,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,12,0.0732,0.0029,0.113246,-5.0,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,13,0.0632,0.0015,0.197683,-4.7,False
ch0_unit3,0,3,False,406,4.43,0.00,alpha,14,0.0718,0.0027,0.123354,-10.1,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,0,0.0639,0.0016,0.190377,138.6,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,1,0.0839,0.0046,0.057375,155.5,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,2,0.0756,0.0033,0.097976,142.5,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,3,0.0776,0.0036,0.086812,153.1,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,4,0.0691,0.0023,0.144101,148.4,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,5,0.0654,0.0018,0.176425,149.9,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,6,0.0695,0.0024,0.140991,151.5,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,7,0.0769,0.0035,0.090888,155.9,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,8,0.0595,0.0011,0.237460,139.6,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,9,0.0824,0.0043,0.063606,156.3,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,10,0.0587,0.0010,0.246749,135.0,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,11,0.0675,0.0021,0.156909,139.6,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,12,0.0602,0.0012,0.229628,137.9,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,13,0.0669,0.0020,0.162169,138.1,False
ch0_unit3,0,3,False,406,4.43,0.00,beta,14,0.0675,0.0021,0.157666,139.9,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,0,0.0196,-0.0021,0.855472,-114.6,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,1,0.0107,-0.0024,0.954946,-157.1,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,2,0.0300,-0.0016,0.694469,-126.3,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,3,0.0160,-0.0022,0.901122,-160.5,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,4,0.0222,-0.0020,0.818752,-133.8,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,5,0.0242,-0.0019,0.789098,-135.0,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,6,0.0226,-0.0020,0.812204,177.6,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,7,0.0226,-0.0020,0.812706,-157.0,False
ch0_unit3,0,3,False,406,4.43,0.00,low_gamma,8,0.0264,-0.0018,0.753111,-143.1,False
